position_id,detector,underlying,signal_at,opened_at,closed_at,entry_cash,exit_cash,commission,pnl,predicted_edge,execution_edge,edge_capture,exit_reason
58,put_call_parity,LMT,2026-06-24 20:00:00+00:00,2026-06-26 13:30:00+00:00,2026-07-17 20:00:00+00:00,-50685.82,51500.0,1.9500000000000002,812.2300000000002,163.8732845677241,676.143284567722,4.956451578685048,expiry
59,butterfly,LMT,2026-06-26 20:00:00+00:00,2026-06-29 13:30:00+00:00,2026-07-17 20:00:00+00:00,22.219999999999914,0.0,1.9500000000000002,20.269999999999914,471.90000000000003,20.269999999999914,0.042954015681288225,expiry
60,butterfly,LMT,2026-06-26 20:00:00+00:00,2026-06-29 13:30:00+00:00,2026-07-17 20:00:00+00:00,52.51999999999998,0.0,1.9500000000000002,50.56999999999998,423.9250000000001,50.56999999999998,0.11928996874447123,expiry
61,put_call_parity,BA,2026-07-01 20:00:00+00:00,2026-07-06 13:30:00+00:00,2026-07-17 20:00:00+00:00,-21935.33,22000.0,1.9500000000000002,62.71999999999825,58.95185395228165,23.42185395228007,1.0639190423216667,expiry
62,put_call_parity,LMT,2026-07-02 20:00:00+00:00,2026-07-06 13:30:00+00:00,2026-07-17 20:00:00+00:00,52675.15,-52500.0,1.9500000000000002,173.20000000000147,332.1078367820432,127.76783678204374,0.5215173531531859,expiry
63,put_call_parity,BA,2026-07-06 20:00:00+00:00,2026-07-08 13:30:00+00:00,2026-07-17 20:00:00+00:00,21255.68,-21250.0,1.9500000000000002,3.730000000000291,69.15416438356043,8.91416438356391,0.05393746035758621,expiry
64,put_call_parity,RTX,2026-07-07 20:00:00+00:00,2026-07-09 13:30:00+00:00,2026-07-17 20:00:00+00:00,-17952.95,18000.0,1.9500000000000002,45.09999999999927,35.45329325752195,25.803293257521727,1.272096210425547,expiry
66,vertical_bound,RTX,2026-07-08 20:00:00+00:00,2026-07-10 13:30:00+00:00,2026-07-17 20:00:00+00:00,621.9899999999998,-500.0,1.3,120.68999999999978,201.38999999999993,120.6899999999999,0.5992849694622366,expiry
65,put_call_parity,RTX,2026-07-08 20:00:00+00:00,2026-07-10 13:30:00+00:00,2026-07-17 20:00:00+00:00,-17463.79,17500.0,1.9500000000000002,34.259999999999124,238.01056470346091,17.58056470346055,0.1439431902641965,expiry
67,put_call_parity,LMT,2026-07-10 20:00:00+00:00,2026-07-13 13:30:00+00:00,2026-07-17 20:00:00+00:00,51839.24,-51750.0,1.9500000000000002,87.28999999999796,199.31410618300578,67.87410618300346,0.4379519426480042,expiry
68,put_call_parity,BA,2026-07-13 20:00:00+00:00,2026-07-15 13:30:00+00:00,2026-08-21 20:00:00+00:00,-22749.9,23000.0,1.9500000000000002,248.14999999999856,63.151583804026856,145.59158380402658,3.929434307935366,expiry
69,put_call_parity,LMT,2026-07-14 20:00:00+00:00,2026-07-16 13:30:00+00:00,2026-08-21 20:00:00+00:00,-51693.18,52000.0,1.9500000000000002,304.8699999999997,331.67607575793755,76.94607575793198,0.9191799538248838,expiry
70,monotonicity,LMT,2026-07-21 20:00:00+00:00,2026-07-23 13:30:00+00:00,2026-09-11 20:00:00+00:00,98.36000000000013,47.8,2.6,143.56000000000012,141.53999999999962,97.06000000000053,1.014271584004525,end_of_data
